"Timestamp","... regarding your studies:","... regarding your general mood:","... regarding your expectations (worse/better than expected?):","If you want to name reasons for the above, please drop a line.","Online classes work well for lectures (lecturer presents information)","Online classes work well for tutorials (teacher presents and discusses exercises and solutions) ","Online classes work well for ""Testate"" (students present homework to e.g. research assistant)","Online classes work well for small seminars (<= 15 students)","Online classes work well for large seminars (>15 students)","Online classes work well for giving or listening to presentations","Online classes work well for reading clubs","Online classes work well for study projects","Solving homework exercises online as a group works fine","Working together on other projects (presentation, paper, etc.) online works fine.","Working online as a student assistant (HiWi) works fine.","Participating in extracurricular activities (e.g. student body, university politics) online works fine.","Managing general administration tasks (e.g. examination office) remotely works fine. ","Do you want to add something more specific about the parts of online university that work well or not so well? ","Do you have suggestions on how to improve the shortcomings of specific types of sessions?","How problematic was the summer term 2020 for you in general?","Which of the following issues or problems affected you as a result of the Covid-19 crisis and/or the online semester? ","Do you suffer from any psychological conditions?","If you suffer from any psychological conditions, did your situation worsen since March 2020?","If you like, please tell us about any particularly striking problems that you encountered personally. If possible, please mention ways in which similar problems could be preventable or solvable for others in the future.","To cope with any arising issues, which of the following services have you used?","How many ECTS points are you aiming to get this semester?","How many classes did you drop because of the current situation?","Are you currently following more or less courses than in other semesters?","How much work are the current digital courses compared to usual university courses?","Do you think that you will need more semesters than planned to complete your studies because of Corona?","Are you regularly taking part in lectures or seminars that are broadcasted live?","Have you been able to complete all your courses from the winter term?","If you have no yet completed all of your courses from the winter term, do you already know when and how you will be able to complete these courses?","How often do you arrange meetings with other people for studying?","Do you meet virtually with people for studying?","Would you wish there would be offer more online social events?","Do you feel a lack of structure in your day because of the online semester?","What tech-setup do you use for university? (Select all that apply)","Which of the university's equipment or facilities that fell away during the last semester is most crucial to your studies/you had a hard time compensating for?","How many fellow students are you regularly in contact with via chat/phone/video/screenshare (primarily uni-matters)?","Which of the following messenger/chat services do you need to communicate within the courses?","What is the most useful format for lecture slides?","What 'Format' of recorded lectures do you find the most engaging/easy to follow ?","In your opinion, how much of Stud.IP's potential is used by the average course ?","Which Stud.IP service would you like to see used more often?","Did you know? There is an interactive Google Sheet called the Coxi Grade Calculator the keep track of required courses, grades and your thesis! (Links provided in the mail to this survey.)","Did you know? There is a virtual university campus to join via a Discord (chat service) server, that provides screensharing, voice/videoChat, updates on courses and emotional support in tough times! (Links provided in the mail to this survey.)","Share your Secrets: Times and Dates - Please let us know about all the apps you are using regarding time management. [Comma, separated answers, are, highly apprechiated]","Share your Secrets: Files and Notes - Please let us know about all the apps you are using regarding file organization and note-taking. [Comma, seperated answers, are, highly apprechiated]","Share your Secrets: Peers and Partners - Please let us know about all the apps you are using regarding personal connection and team-learning. [Comma, seperated answers, are, highly apprechiated]","Share your Secrets: The MVP - Please let us know about the app/service/device that you are using the most and could not study without. [Name the app and explain what makes it your ""Most Valuable Player""]","What program are you enrolled in?","What semester are you in?","In case the next semester will be an online semester like the current, how important would it be for you to know this as soon as possible?","Please share anything that so far you had no chance of mentioning!"
"2020/06/15 10:59:33 AM GMT+2","10","8","7","since it is possible to connect with a few people I really like the online semester and have some advantages, fpr example I can work during the week and study in my own pace","9","6","","10","10","8","10","","10","10","10","10","","Studying by myself makes it easier to learn without a heavy time pressure, but I need more time for solving homeworks and preparing the material from the lectures
It is quite uncomfortable to watch at a screen for more than 6 hours a day","For lectures: I appreciate the audio files put into the presentations, I would suggest to meet via BBB every two weeks to give room for questions regarding the content (like Q&Q but more often and periodic)

For Seminars: it would be nice to use the techniqual advantages even more - icluding videos, breakout rooms and other to higher the students engagement

For homework: be more dynamic and flexible for the amount of homework, instead of having one big performance goal, use a learning goal ","3","social issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","Yes (Diagnosed or Suspected; via health care professional)","No","being aware and acting responsible in the time when covid19 was higly dangerous. I tend to think that I do not care, because I will die someday anyway. This time it was more about helping others and not being selfish anymore. I started appreciating the little things even more and I would like to have a shut down every year.","Advice Fachschaft;Advice study coordinator;Psychological counseling;Examination office","15 ECTS","3","much less","7","No","Yes","Yes","Yes","less often than in previous semesters","Yes","No","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","CIP Pool Computers","7","Blubber;Stud.IP Forum","Powerpoint with audio comments","Video of slides + Narration by lecturer.","7","Etherpad (Collaborative Writing & Drawing)","Yes","No","outlook","adobe pdf viewer","zoom, telegram","","BSc CogSci","8+","Very important to know ASAP","thank you for the great support and creativity during this time, I felt a lot of support"
"2020/06/15 11:56:26 AM GMT+2","4","3","7","Getting help via the Forum or other online ways isn't always easy. I'm missing the support of people I normally would get to know/meet face to face in the lecture room. ","8","","","9","7","8","","9","","10","","","4","Nowadays it is very difficult to reach the examination office. Without access to university printers, printing becomes a tour de force. ","Create smaller seminars, splitting them into subgroups. Tutors should talk up more frequently and make sure no question is missed. ","7","financial issues;social issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","Low internet connection at my family's place (living at the countryside). I moved to Osna and had little social support here.","Examination office","25 ECTS","1","a bit less","6","No","Yes","Yes","","less often than in previous semesters","No","Yes","Maybe","Desktop/Laptop Computer;Pen & Paper","CIP Pool Computers","2","Telegram","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","7","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","","","","","BSc CogSci","6","Very important to know ASAP",""
"2020/06/15 12:41:01 PM GMT+2","3","4","4","","2","1","4","1","1","1","4","1","3","4","","1","3","","","6","social issues;issues with access to study material (library, labs);Daily routine is highly restricted and impaired","","No","","None","less than 15 ECTS","All","much less","","No","No","Yes","","less often than in previous semesters","No","","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Pen & Paper;Books","Library Books","2","","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","","Wiki (Look up specific descriptions & definitions)","No","No","","","Google Docs (working in one document simultaneously)","Vorschau (Mac or iPadOS): For reading and highlighting all PDFs","BSc CogSci","8+","Very important to know ASAP",""
"2020/06/15 12:48:14 PM GMT+2","8","7","8","I really like how everyone tries to create a feeling similar to in person lectures and seminars, but I'm missing in-person interaction during and after lectures. Watching the computer screen all day long is really tiering.","10","8","","","8","7","","","","6","","","","Organizationally it works really well, but it is really exhausting both on body and mind to have everything going on online.","","2","social issues;issues with technical equipment (computer, internet, ...)","No","I dont suffer from any psychological condition","","Advice mentoring team;Friends and family","25 ECTS","2","about the same","6","Yes, more than one semester more","Yes","Yes","","less often than in previous semesters","Yes","Yes","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Frosch","4","Blubber;Stud.IP Forum;Discord;Zoom","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","8","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","","pen and paper","Discord, Whatsapp, Google docs","","","6","Very important to know ASAP",""
"2020/06/15 3:20:49 PM GMT+2","5","7","7","","8","5","7","6","1","7","4","2","2","2","7","4","7","Studying is a lot more fun and a lot more productive and creative if you have spontaneous and regular contact to other people. This is a fundamental part of research and studying that is missing totally in an online university.","We definitely need a better online teaching/learning platform than studIP. It has a lot of limitations that hamper the whole process of effectively providing and presenting study material to the students.","7","social issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","It feels like me study project supervisors are expecting a lot of commitment of the whole group. Sometimes I get the feeling that I signed something like a contract to be available 365 days of the year that the project lasts. Since we could not do the project as planned (due to not having access to the lab), we gained some time, but it feels like now expectations are even higher. I would hope for more patience from the side of the lecturers and more understanding that this whole situation makes learning and working a lot harder and therefore not as productive as before.","Advice mentoring team;Psychological counseling","25 ECTS","2","a bit less","9","Yes, one semester more","No","No","Yes","less often than in previous semesters","Yes","Yes","No","Desktop/Laptop Computer;Pen & Paper","Eduroam/UniWifi Speeds","4","Slack;Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","","","","MSc CogSci","3","Very important to know ASAP",""
"2020/06/15 6:17:02 PM GMT+2","7","4","7","I am currently only writing my Bachelor's thesis, thus I do not participate in any courses (the only one I wanted to take this semester was dropped, sadly). I rely on lab equipment, but we made it work, so the situation is better than expected. ","","","","6","","6","","","","","","4","8","The Prüfungsamt is doing a great job! 
I participated in a small seminar and as soon as verbal exchange start in a Zoom-session, it starts to not work smoothly. People definitely interact more dynamically in a real world setting + technological issues (that still happen) make progressing at good speeds hard. ","","6","physical health issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs);Issues with lab equipment","No","I dont suffer from any psychological condition","","Examination office;Supervisors ","less than 15 ECTS","","much less","","No","","","","","","","Yes","Desktop/Laptop Computer","Equipment in the VR Lab","","","","Video of slides + Narration by lecturer.","","","Yes","Yes","Apple Calendar, Google Calendar, Slack, Telegram, TextEdit","","Zoom, Slack, Telegram, Discord","Zoom (all video calls with multiple or just two people inside the working group are held with this software; even though I do not fancy the app too much) ","","8+","Very important to know ASAP","As I am ""only"" concerned with writing my Bachelor's thesis at the moment, I do not really take too much notice of the ongoings with the students who do ""real"" courses at the moment and the struggles that they face. But I feel like the whole institute is very committed to solving problems and enabling and helping the students where possible. In my case, everyone is very understandable about the situation and the implications for my thesis. "
"2020/06/16 10:21:28 AM GMT+2","2","2","4","","6","2","5","8","3","4","5","5","4","5","","2","2","","","9","mental health issues;financial issues","Yes (Diagnosed or Suspected; via health care professional)","Yes, to the degree where it made me dysfunctional on some level","","Psychological counseling","less than 15 ECTS","1","much less","5","Yes, one semester more","Yes","No","No","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","4","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","","Vips (With Question Pool & Selftest options )","No","No","","","","","BSc CogSci","6","Very important to know ASAP",""
"2020/06/16 12:07:53 PM GMT+2","7","7","6","","7","4","7","","","","","","4","3","","","4","","","3","issues with exam taking","No","I dont suffer from any psychological condition","It is quite distressing that there is no information when exams belonging to courses of the winter term can be carried out.","None","25 ECTS","1","about the same","7","No","Yes","No","No","less often than in previous semesters","Yes","Yes","No","Desktop/Laptop Computer","Secluded Workplaces (e.g. Library Rooms)","4","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","Yes","","","","Using GitHub for collaborative programming tasks is reeeealy helpful, not too much of a secret though ;)","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/16 6:22:10 PM GMT+2","4","5","3","less ""pressure"" to actually get up early and attend lectures since almost all can be watched later on in the form of recordings","3","4","","","5","6","","","3","6","","","7","some professors/lecturers do not have the ""technical lnow-how"" to guarantee for example good audio quality","better prepare professors/lecturers for situations like these","4","social issues;issues with technical equipment (computer, internet, ...)","No","","","None","30 ECTS","1","a bit more","6","Yes, one semester more","No","No","No","less often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer;Pen & Paper","Printers","6","Riot;Discord","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","4","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","Yes","calendar with reminder feature to keep in mind important dates like exams and dead-lines","","","","BSc CogSci","2","It doesn't matter at all when I would know","because of Covid-19 some exams of the last semester have not taken place at all. Also some retake exams are only availabe now (partly during exam weeks of the current semester). One retake exam however will only be available during the third semester (AuD). This means that valuable ECTS are missing to achieve the 40 ECTS required to enter the third semester. Hopefully there will be an exception this time because of Covid-19."
"2020/06/17 2:13:22 PM GMT+2","4","2","4","","4","4","4","3","8","3","7","3","5","5","","","7","","","7","mental health issues;financial issues","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","None","20 ECTS","2","much less","8","Yes, more than one semester more","No","No","Yes","less often than in previous semesters","Yes","Yes","Yes","Desktop/Laptop Computer","Printers","3","","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","5","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","","","","","","","MSc CogSci","2","Very important to know ASAP",""
"2020/06/17 6:07:48 PM GMT+2","7","6","8","","6","7","8","8","6","","","","9","9","","","8","","","7","mental health issues;social issues;term abroad cancelled / postponed","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","None","more than 30 ECTS","2","a bit more","8","Yes, more than one semester more","Yes","No","Yes","about the same","Yes","","Maybe","Hybrid Laptop/Tablet","","5","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","9","","Yes","No","","OneNote","WhatsApp, Discord","","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/18 10:01:16 AM GMT+2","7","3","7","","7","4","7","6","8","4","","","6","5","","","8","","","4","term abroad cancelled / postponed;issues with technical equipment (computer, internet, ...)","No","I dont suffer from any psychological condition","","Advice mentoring team;VirtUOS","more than 30 ECTS","1","about the same","8","No","No","No","No","less often than in previous semesters","Yes","No","Yes","Desktop/Laptop Computer;Tablet (+ Pen)","Frosch","4","Blubber;Stud.IP Forum;Whatsapp","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","","No","Yes","Stundenplan Deluxe, Kalender","OneDrive, GoodNotes, Spark, PDF Expert","Skype, Zoom, Whatsapp, Facetime, Spark","Spark","BSc CogSci","4","Good to know at some point but not urgent",""
